,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
3638,3638,False,,75000000,"Animation,Action,Science_Fiction,Family,Adventure",,7450,tt0120913,English,Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction.",7.515631,/huI8CYyxY0BhzJSLn6XAP4nWAv.jpg,"Twentieth_Century_Fox_Film_Corporation,David_Kirschner_Productions,Fox_Animation_Studios",United_States_of_America,2000-06-16,36754634.0,94.0,"English,普通话",Released,"When Earth Ends, The Adventure Begins.",Titan A.E.,False,6.3,320.0,2000,"Matt Damon,Bill Pullman,Drew Barrymore,John Leguizamo,Nathan Lane,Janeane Garofalo,Ron Perlman,Alex D. Linz",Gary Goldman,"monster,galaxy,dystopia,space,alien,animation,mission",7450.0,323033.0,11141.0
3646,3646,False,,110000000,"Drama,History,War,Action",,2024,tt0187393,English,The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",15.960788,/tgXOraQmKatqrVs2KMgnNn6QpO.jpg,"Centropolis_Entertainment,Columbia_Pictures_Corporation,Mutual_Film_Company,Global_Entertainment_Productions_GmbH_&_Company_Medien_KG","Germany,United_States_of_America",2000-06-28,215294342.0,165.0,English,Released,Some things are worth fighting for.,The Patriot,False,6.8,1130.0,2000,"Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,Tchéky Karyo,Chris Cooper,Lisa Brenner,Tom Wilkinson,Leon Rippy,Donal Logue,Adam Baldwin,Jay Arlen Jones,Joey D. Vieira,Gregory Smith,Skye McCole Bartusiak,Trevor Morgan,Bryan Chafin,Peter Woodward,Logan Lerman,Rene Auberjonois,Charles Black",Roland Emmerich,"rebel,southern usa,loss of son,martial arts,general,loss of family,passion,insurgence,french,daughter,south carolina,british,based on true story,gore,mission",2024.0,102757.0,1411.0
3656,3656,False,F/X Collection,0,"Crime,Thriller,Action",,9873,tt0089118,English,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",6.620556,/6VAiIPBnIRPWXi70sxsHDn9rXA8.jpg,"Orion_Pictures,Dodi_Fayed_-_Jack_Wiener",United_States_of_America,1986-02-07,20603715.0,109.0,English,Released,Murder by Illusion,F/X,False,6.4,91.0,1986,"Bryan Brown,Brian Dennehy,Diane Venora,Cliff DeYoung,Mason Adams,Jerry Orbach,Joe Grifasi,Martha Gehman,Trey Wilson,Tom Noonan,Paul D'Amato,Jossie DeGuzman,Jean De Baer,M'el Dowd,John Doumanian,Ray Iannicelli,Angela Bassett",Robert Mandel,"corruption,detective,assassin,showdown,fbi,mission of murder,witness protection,stuntman,police,mafia boss,deception,special effects,gunfight,new york city,violence,car chase,disguise,federal agent,makeup artist,manhunt,justice department",,,
3661,3661,False,Missing in Action Collection,0,"Action,War",,27352,tt0094792,English,Braddock: Missing in Action III,"When Colonel James Braddock is told that his Asian wife and 12-year-old son are still alive in Communist Vietnam, he mounts a one-man assault to free them. Armed with the latest high-tech firepower, Braddock fights his way into the heart of the country and ends up battling his way out with several dozen abused Amerasian children in tow! Struggling to keep them alive while outmaneuvering a sadistic Vietnamese officer, Braddock ignites the jungle in a blazing cross-country race for freedom.",7.362552,/v55D47w1rI0buKmWmIErHqqLVoC.jpg,"Golan-Globus_Productions,The_Cannon_Group",United_States_of_America,1988-01-22,6193901.0,101.0,"English,Português",Released,He's fighting for everyone who can't fight back.,Braddock: Missing in Action III,False,4.8,55.0,1988,"Chuck Norris,Aki Aleong,Roland Harrah III,Miki Kim,Yehuda Efroni,Ron Barker,Floyd Levine,Jack Rader,Melinda Betron,Rick Prieto,Jan Michael Shultz,Keith David,Robert Jochheim,Thuy Lin Samora,Pita Liboro,Jeff Habberstad,Howard Jackson ",Aaron Norris,"vietnam veteran,orphanage,rescue mission,long abandoned",,,
3778,3778,False,,0,Drama,,30910,tt0157182,English,Went to Coney Island on a Mission from God... Be Back by Five,No overview found.,0.001652,/fyM8sgjRwQ6EDVu2CMh4MK7DWay.jpg,nan,nan,1998-01-01,0.0,94.0,,Released,,Went to Coney Island on a Mission from God... Be Back by Five,False,0.0,0.0,1998,,,independent film,,,
3895,3895,False,James Bond Collection,40000000,"Action,Adventure,Thriller",http://www.mgm.com/view/movie/1132/The-Living-Daylights/,708,tt0093428,English,The Living Daylights,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,12.189038,/yEryMe58dx7zm1QBhQFeuYcv2aH.jpg,"United_Artists,Eon_Productions","United_Kingdom,United_States_of_America",1987-06-29,191185897.0,130.0,"English,العربية,Français,Deutsch,Pусский,Český,Slovenčina",Released,Licensed to thrill.,The Living Daylights,False,6.2,447.0,1987,"Timothy Dalton,Maryam d'Abo,Jeroen Krabbé,Joe Don Baker,John Rhys-Davies,Art Malik,Andreas Wisniewski,Thomas Wheatley,Desmond Llewelyn,Robert Brown,Geoffrey Keen,Walter Gotell,Caroline Bliss,John Terry,Virginia Hey,John Bowe,Julie T. Wallace,Belle Avery,Catherine Rabett,Dulice Liecier,Nadim Sawalha,Alan Talbot,Carl Rigg,Tony Cyrus,Atik Mohamed,Michael Moor,Sumar Khan,Ken Sharrock,Peter Porteous,Antony Carrick,Frederick Warder,Glyn Baker,Scott Hoxby,Bill Weston,Richard Cubison,Heinz Winter,Leslie French,Odette Benatar,Dianna Casale,Sharon Devlin,Femi Gardiner,Patricia Keefer,Ruddy Rodriguez,Mayte Sánchez,Cela Savannah,Karen Seeberg,Waris Dirie,Karen Williams,Barbara Broccoli",John Glen,"london england,smuggling of arms,prison,england,assassination,spy,falsely accused,secret identity,country estate,arms deal,russia,drug traffic,secret mission,secret intelligence service,kgb,villain,renegade,special car,tangier morocco,big wheel,pipeline,cello,orchestra,freedom fighter,czechoslovakia,bratislava,afghanistan,airplane,schloss schönbrunn,escape,moscow,vienna",708.0,117979.0,8866.0
3899,3899,False,,4000000,Drama,,10132,tt0096219,English,Talk Radio,"A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.",6.865513,/tuEA94RjZhYWrnrkmzHQVFmzOIN.jpg,"Cineplex-Odeon_Films,Ten-Four_Productions","Canada,United_States_of_America",1988-12-21,3468572.0,110.0,English,Released,The last neighborhood in America.,Talk Radio,False,6.7,46.0,1988,"Eric Bogosian,Ellen Greene,Leslie Hope,John C. McGinley,Alec Baldwin,John Pankow,Anna Levine",Oliver Stone,"anonymity,radio presenter,success,dangerous,radio transmission,independent film",,,
4227,4227,False,,12000000,"Action,Adventure,Drama,War,Romance",,5923,tt0060934,English,The Sand Pebbles,"Engineer Jake Holman arrives aboard the gunboat U.S.S. San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the ""rice-bowl"" system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat's presence reaches a climax when the boat must crash through a river-boom and rescue missionaries upriver at China Light Mission.",11.354247,/zgahpKXixtsmveyl9oPOD7GhmpW.jpg,"Twentieth_Century_Fox_Film_Corporation,Solar_Productions,Robert_Wise_Productions",United_States_of_America,1966-12-20,20000000.0,182.0,"English,普通话",Released,This is the heroic story of the men on the U.S.S. San Pablo who disturbed the sleeping dragon of savage China as the threatened world watched in breathless terror.,The Sand Pebbles,False,7.2,59.0,1966,"Steve McQueen,Richard Attenborough,Richard Crenna,Candice Bergen,Mako,Larry Gates,Charles Robinson,Simon Oakland,Ford Rainey,Joe Turkel,Gavin MacLeod,Joe Di Reda,Richard Loo,Barney Phillips,James Hong,Gus Trikonis,Emmanuelle Arsan,Shepherd Sanders,James Jeter,Tom Middleton,Paul Chun,Tommy Lee,Beulah Quo,Stephen Jahn,Alan Hopkins,Stephen Ferry,Ted Fish,Loren Janes,Glenn R. Wilder,Robert Kelly-Schleyer",Robert Wise,"missionary,china,u.s. navy,chinese,battle,gunboat",5923.0,83598.0,41760.0
4291,4291,False,,2686000,"Adventure,Comedy,Romance",,15875,tt0057007,English,Donovan's Reef,"'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",1.920256,/pPFhg8MGy8zL8OKYtci5fTUIIRT.jpg,Paramount_Pictures,United_States_of_America,1963-06-12,6600000.0,109.0,"English,Français",Released,Gangway...For This Years BIG Adventure!,Donovan's Reef,False,6.0,31.0,1963,"John Wayne,Elizabeth Allen,Lee Marvin,Cesar Romero,Mike Mazurki,Jack Warden,Jacqueline Malouf,Cherylene Lee,Jeffrey Byron,Dorothy Lamour,Marcel Dalio,Dick Foran,Edgar Buchanan,Jon Fong,Dan Ford,Mae Marsh,Ron Nyman,John Qualen,Aissa Wayne,Patrick Wayne",John Ford,"birthday,half-brother,priest,mission clinic,polynesia,bar brawl,christmas,piano,half sister,navy veterans,tiki culture",,,
4358,4358,False,,4000000,"Thriller,Horror,Drama",,5333,tt0094667,English,Apartment Zero,The owner of a failing cinema and his mysterious boarder are caught up in the political intrigue of Argentina.,3.927714,/4p1zUQHojl5ELFOxdBntAQ7D6kf.jpg,nan,"Argentina,United_Kingdom",1988-09-30,670774.0,124.0,English,Released,,Apartment Zero,False,6.9,12.0,1988,"Hart Bochner,Colin Firth,Dora Bryan,Liz Smith,Mirella D'Angelo,James Telfer,Fabrizio Bentivoglio",Martin Donovan,"cia,drag queen,cat,flat,distrust,cohabitant,hitman,buenos aires,mission of murder,male friendship,film and cinema,boarder,film history,neighbor,cowardliness",5333.0,47892.0,26030.0
4529,4529,False,,16000000,"Action,History,War",,12663,tt0098180,English,Red Scorpion,"A Russian KGB agent is sent to Africa to kill an anti-Communist black revolutionary. However, he has a change of heart when he sees how the Russians and their Cuban allies are killing and repressing the locals, so he switches sides and helps the rebels.",2.549325,/vAOaT9nyh1IMrXm0AkWgbbiSqad.jpg,"abramoff_Production,Scorpion_Film_Production,Abramoff_Production","Namibia,United_States_of_America,South_Africa",1988-12-24,4192440.0,105.0,English,Released,They think they control him. Think again.,Red Scorpion,False,4.9,50.0,1988,"Dolph Lundgren,M. Emmet Walsh,Al White,T. P. McKenna,Carmen Argenziano,Alex Colon,Brion James,Greg Latter",Joseph Zito,"traitor,cold war,russian,mission of murder,war,uprising,revenge,agent,spetsnaz",,,
4530,4530,False,Jurassic Park Collection,93000000,"Adventure,Action,Thriller,Science_Fiction",,331,tt0163025,English,Jurassic Park III,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",0.648867,/26L7XODsNlxX3VwkfuUnYOslbRF.jpg,"Universal_Studios,Amblin_Entertainment",United_States_of_America,2001-07-18,368780809.0,92.0,"English,Español",Released,"This time, it's not just a walk in the park!",Jurassic Park III,False,5.7,2109.0,2001,"Sam Neill,William H. Macy,Téa Leoni,Trevor Morgan,Alessandro Nivola,Michael Jeter,John Diehl,Bruce A. Young,Laura Dern,Taylor Nichols,Mark Harelik,Julio Oscar Mechoso,Blake Michael Bryan,Sarah Danielle Madison,Linda Park",Joe Johnston,"exotic island,dna,paleontology,tyrannosaurus rex,velociraptor,spinosaurus,airplane,rescue,mission,dinosaur,jurassic park",331.0,111454.0,46797.0
4639,4639,False,,0,"Action,Adventure,Comedy,Family",,16314,tt0103596,English,3 Ninjas,"Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",11.035859,/lvfgYcK0dpgwCuRX4mTqc1Yg3yF.jpg,Touchstone_Pictures,United_States_of_America,1992-08-07,0.0,84.0,"English,Deutsch,Italiano",Released,Crosses Teenage Mutant Ninja Turtles and Home Alone!,3 Ninjas,False,5.5,102.0,1992,"Victor Wong,Michael Treanor,Max Elliott Slade,Chad Power,Rand Kingsley,Alan McRae,Margarita Franco,Kate Sargeant,Joel Swetow,Professor Tanaka,Race Nelson,D.J. Harder,Baha Jackson,Scott Caudill,Fritzi Burr,Tasen Chou,Clifton Powell,Al Septien,Patrick Labyorteaux",Jon Turteltaub,"hero,rivalry,rescue,good vs evil,crime,youth,danger,family,escapade,save the day,young heroes,siblings relations,teachers and students,teaching the ways of the world,eccentric family,vigilantism,heroic mission,power relations,laxative",,,
4640,4640,False,,0,"Adventure,Action,Comedy,Family",,18885,tt0109015,English,3 Ninjas Kick Back,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",3.775127,/paFMTv9IuZJaVkPZZvwtS5Ta5D9.jpg,"TriStar_Pictures,Sheen_Productions,Ben-Ami/Leeds_Productions","Japan,United_States_of_America",1994-05-06,0.0,93.0,"English,Français",Released,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",3 Ninjas Kick Back,False,4.6,50.0,1994,"Victor Wong,Max Elliott Slade,Sean Fox,J. Evan Bonifant,Caroline Junko King,Dustin Nguyen,Alan McRae,Margarita Franco,Jason Schombing,Angelo Tiffe,Sab Shimono,Don Stark,Kellye Nakahara,Scott Caudill,Tommy Clark,Jeremy Linson,Brian Wagner,Maital Sabban,Gino Dentie,Marcus Giamatti,Jill Ito,Michael Paciorek,Donna Marie Recco,Joey Travolta,Robert Miano,Glen Chin,Killer Khan,Shiao-Hu Tso,Kazuaki Naruse,Syunichiro Yunoki,Hachiro Yamauchi,Toshiyo Matsunaga,Yoshiko Kamiya,Katsumi Honda,Shogo Nakajima,Kyogi Kamui,Seigen Nakayama,Ôfuji,Hayabusa Tenkomori,Shinoburyû,Kasugia,Naoki Fuji,Takao Ito,Kensuke Goto,Yousyu Kondo,Takeshi Yamamoto,Masaki Kiryu,Hideki Chiba,Norihito Yagami,Kazuya Matsui",Charles T. Kanganis,"underdog,hero,friendship,treasure hunt,friends,revenge,rivalry,good vs evil,youth,danger,escapade,young heroes,siblings relations,vigilantism,heroic mission,buddies,master villain,master warrior,contests and competitions",,,
4641,4641,False,,0,"Adventure,Action,Comedy,Family",,40508,tt0112255,English,3 Ninjas Knuckle Up,"Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.",2.544118,/bd9if2VRAxBrXxkhT28hXMiusY1.jpg,TriStar_Pictures,United_States_of_America,1995-04-07,0.0,85.0,English,Released,"Tum Tum, Colt and Rocky are back for all new non-stop Ninja action!",3 Ninjas Knuckle Up,False,4.2,32.0,1995,"Victor Wong,Charles Napier,Michael Treanor,Max Elliott Slade,Chad Power,Crystle Lightning,Patrick Kilpatrick,Don Shanks,Sheldon Peters Wolfchild,Nick Ramus,Donal Logue,Vincent Schiavelli,Selina Jayne,Kait Lyn Mathews,Don Stark,Dennis Holahan,Michael Hungerford,Cathy Perry,Wayne Collins Jr.,Janie Melissa Gunderson,Danuel Pipoly,Amanda Nicole Power,Erin Treanor,Gary Epper,Eric Mansker,Ted Pitsis,Stuart Proud Eagle Grant,Jeff Cadiente",Shin Sang-ok,"underdog,hero,rivalry,crime,youth,danger,corporate crime,environmentalism,escapade,save the day,young heroes,siblings relations,heroic mission,righting the wronged,buddies,master warrior,fighting crime",,,
4752,4752,False,,0,Documentary,,15560,tt0119682,English,Mission to Mir,"This film shows how far we have come since the cold-war days of the 50s and 60s. Back then the Russians were our ""enemies"". And to them the Americans were their ""enemies"" who couldn't be trusted. Somewhere in all this a young girl in Oklahoma named Shannon set her sights on becoming one of those space explorers, even though she was told ""girls can't do that."" But she did.",0.227606,/qVCbs4lO0b5Sj1RpH03gD2GBVYU.jpg,IMAX,United_States_of_America,1997-10-17,0.0,40.0,English,Released,,Mission to Mir,False,3.0,2.0,1997,August Schellenberg,Ivan Galin,"nasa,cold war,space travel,astronaut,space station,imax,science,mir space station,short",,,
4924,4924,False,,22997992,"Drama,Action,Thriller,Romance",,10170,tt0100530,English,The Russia House,An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.,10.445117,/y3Geqg8cEd7Z8YHyWkzE1vkcz6z.jpg,"Pathé_Entertainment,Metro-Goldwyn-Mayer_(MGM),Star_Partners_III_Ltd.",United_States_of_America,1990-12-19,0.0,122.0,"English,Pусский,Español",Released,,The Russia House,False,6.3,54.0,1990,"Sean Connery,Michelle Pfeiffer,Roy Scheider,James Fox,John Mahoney,J.T. Walsh,Klaus Maria Brandauer,David Threlfall,Ken Russell,Nicholas Woodeson,Martin Clunes,Ian McNeice,Colin Stinton,Charlotte Cornwell,David Ryall,Denys Hawthorne,Kate Lock,Simon Templeman,Jason Salkey",Fred Schepisi,"cia,secret,soviet union,ex-lover,secret mission,nuclear scientist",,,
5206,5206,False,,0,"Mystery,Drama,Thriller,Romance,War",,10491,tt0157583,English,Enigma,"A romantic thriller based around the World War 2 project to crack the codes behind the Enigma machine, used by the Germans to encrypt messages sent to their submarines.",21.520641,/xBRgHFHnCqhfpq4w63XqbjdMdB2.jpg,"Senator_Film_Produktion,Meespierson_Film_CV,Intermedia_Films,Broadway_Video,Manhattan_Pictures_International,Mulholland_Pictures_BV,Jagged_Films","Netherlands,United_Kingdom,United_States_of_America,Germany",2001-01-22,15705007.0,119.0,"Deutsch,English",Released,Unlock the secret.,Enigma,False,6.0,74.0,2001,"Dougray Scott,Kate Winslet,Saffron Burrows,Jeremy Northam,Nikolaj Coster-Waldau,Tom Hollander,Donald Sumpter,Matthew Macfadyen,Richard Leaf,Bohdan Poraj,Paul Rattray,Tom Fisher,Robert Pugh,Corin Redgrave,Nicholas Rowe,Angus MacInnes,Michael Troughton,Edward Hardwicke,Anne-Marie Duff,Tim Bentinck,Mary MacLeod,Rosie Thomson",Michael Apted,"lover (female),world war ii,radio transmission,leave,friendship,u boat,cryptography,secret formula",,,
5308,5308,False,The Bourne Collection,60000000,"Action,Drama,Mystery,Thriller",http://www.universalstudiosentertainment.com/the-bourne-identity/,2501,tt0258463,English,The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",21.040126,/bXQIL36VQdzJ69lcjQR1WQzJqQR.jpg,"Universal_Pictures,Kennedy/Marshall_Company,_The,Hypnotic,Kalima_Productions_GmbH_&_Co._KG,Stillking_Films","United_States_of_America,Germany,Czech_Republic",2002-06-14,214034224.0,119.0,"English,Français,Deutsch,Nederlands,Italiano",Released,He was the perfect weapon until he became the target.,The Bourne Identity,False,7.3,3640.0,2002,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen,Brian Cox,Adewale Akinnuoye-Agbaje,Gabriel Mann,Walton Goggins,Josh Hamilton,Julia Stiles,Orso Maria Guerrini,Tim Dutton,Denis Braccini,Nicky Naude,David Selburg,Demetri Goritsas,Russell Levy,Anthony Green,Hubert Saint-Macary,David Bamber,Gwenael Clause,Emanuel Booz,Philippe Durand,Vincent Franklin,Paulette Frantz,Thierry René,Roger Frost,David Gasman,Harry Gilbert,Delphine Lanson,William Cagnard,Kait Tenison,Joseph Beddelin,Rainer Werner,Katie Thynne,Aaron Lilly,Ronald Benefield,Bradley J. Goode,Troy Lenhardt,Joshua McNew,Joe Montana,John Pawlikowski,Michael Rix,Brad Rizer,Andrew Webster,Houston Williams,Alain Grellier,Arnaud Henriet,Jean-Yves Bilien,Danny Erskine,Elwin 'Chopper' David",Doug Liman,"paris,barcelona spain,assassin,based on novel,secret identity,amnesia,sniper,passport,mission of murder,lovers,escape,shootout,foot chase,cell phone,car chase,multiple identities,surveillance camera,hamburg germany,fishing boat,langley virginia,safe deposit box,flashback,hand to hand combat",2501.0,132477.0,13466.0
5310,5310,False,,115000000,"Drama,Action,History,War",,12100,tt0245562,English,Windtalkers,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.",7.455875,/siWpVZlD3pahKXNnV9M52yCMZJG.jpg,"Lion_Rock_Productions,Metro-Goldwyn-Mayer_(MGM)",United_States_of_America,2002-06-14,77628265.0,134.0,"English,日本語,",Released,Honor Was Their Code.,Windtalkers,False,5.8,345.0,2002,"Nicolas Cage,Adam Beach,Peter Stormare,Noah Emmerich,Mark Ruffalo,Jason Isaacs,Christian Slater,Frances O'Connor,Keith Campbell,Martin Henderson",John Woo,"japan,world war ii,radio transmission,marine corps,u.s. army,code,navajo,pacific war",,,
5397,5397,False,xXx Collection,70000000,"Action,Adventure,Thriller",http://www.sonypictures.com/movies/xxx/,7451,tt0295701,English,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",12.722381,/fPHNTG1OXFBQ6aEVO7Lv8tSgfrY.jpg,"Columbia_Pictures,Original_Film,Revolution_Studios",United_States_of_America,2002-08-09,277448382.0,124.0,"Český,English,Deutsch,Español,Pусский",Released,A New Breed Of Secret Agent.,xXx,False,5.8,1454.0,2002,"Vin Diesel,Asia Argento,Samuel L. Jackson,Danny Trejo,Leila Arcieri,Marton Csokas,Michael Roof,Richy Müller,Werner Daehn,Jan Pavel Filipensky,Tom Everett,Thomas Ian Griffith,Eve,Joe Bucaro III,Chris Gann,Martin Hub,Petr Jákl ml.,William Hope,Ted Maynard,David Asman",Rob Cohen,"sports car,biological weapon,cold war,russian,prague,mission,athlete,nsa agent,adrenaline junkie,thrill seeker",7451.0,377092.0,10625.0
5431,5431,False,Hot Shots! Collection,26000000,"Action,Comedy,War",,9595,tt0102059,English,Hot Shots!,"Charlie Sheen, Lloyd Bridges, Cary Elwes, Valeria Golino and Jon Cryer co-star in director Jim Abrahams' (Airplane, Naked Gun) truly hilarious spoof of Top Gun. Recruited to join a top-secret mission for the Air Force, a renegade pilot (Sheen) finds himself coping with an incompetent admiral (Bridges) and a carefully selected squadron of flyers who are either inept or half-blind.",11.026793,/2e9g8SEXBmFysLKJZOb64ecWVTq.jpg,Twentieth_Century_Fox_Film_Corporation,United_States_of_America,1991-07-31,181096164.0,84.0,English,Released,The mother of all movies.,Hot Shots!,False,6.4,588.0,1991,"Charlie Sheen,Cary Elwes,Valeria Golino,Lloyd Bridges,Kevin Dunn,Jon Cryer,William O'Leary,Kristy Swanson,Efrem Zimbalist, Jr.,Bill Irwin,Heidi Swedberg,Bruce A. Young,Ryan Stiles,Rino Thunder,Mark Arnott,Ryan Cutrona,Bill Laimbeer",Jim Abrahams,"secret mission,bad luck,saddam hussein,drill instructor,jet crash",,,
5813,5813,False,,0,"War,Drama,Action",,43279,tt0083591,English,Attack Force Z,"Tim Burstall directs then-up-and-comers Mel Gibson and Sam Neill in this action-packed Cannes Film Festival selection about the grim realities of World War II, a gritty drama based on actual events. Sent to rescue survivors from the site of a plane crash in the South Pacific, Capt. P.G. Kelly (Gibson) and his elite squad of Australian commandos must keep tabs on a defecting Japanese official who could hold the secret to peace.",1.021685,/pa3U6vA2pN94Vy6Pm7jOkrFcPFi.jpg,"The_Australian_Film_Commission,Central_Motion_Pictures,Fauna_Productions","Australia,Taiwan",1982-06-10,88000.0,93.0,English,Released,Mel Gibson blasting his way to hell and back,Attack Force Z,False,4.2,5.0,1982,"John Phillip Law,Mel Gibson,Sam Neill,Chris Haywood,Sylvia Chang,John Waters",Tim Burstall,"mission,commando,commando mission",,,
5844,5844,False,The Lord of the Rings Collection,79000000,"Adventure,Fantasy,Action",http://www.lordoftherings.net/,121,tt0167261,English,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,"WingNut_Films,New_Line_Cinema,The_Saul_Zaentz_Company","New_Zealand,United_States_of_America",2002-12-18,926287400.0,179.0,English,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,False,8.0,7641.0,2002,"Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Christopher Lee,Sean Astin,Billy Boyd,Dominic Monaghan,Andy Serkis,Hugo Weaving,Craig Parker,Bernard Hill,Brad Dourif,Miranda Otto,David Wenham,Karl Urban,Cate Blanchett,Olivia Tennet,Sean Bean,Jed Brophy,Calum Gittins,John Bach,Robbie Magasiva,John Noble,Robyn Malcolm,Bruce Phillips,Raymond Trickitt,Stephen Ure,Nathaniel Lees,Sam Comery,Bruce Hopkins,John Leigh",Peter Jackson,"elves,orcs,middle-earth (tolkien),hobbit,based on novel,explosive,cave,fort,army,mission,attack,guide,wizard,ring,sword and sorcery",121.0,106473.0,32119.0
5997,5997,False,,0,"Comedy,Foreign",,52083,tt0083449,English,The Missionary,"In 1905, after 10 years of missionary work in Africa, the Rev. Charles Fortesque is recalled to England, where his bishop gives him his new assignment - to minister to London's prostitutes",1.196669,/q9brTNWdI9ZueihzdnbwWCDzOQ.jpg,Hand_Made_Films,United_Kingdom,1982-11-02,7241180.0,90.0,"English,Deutsch",Released,,The Missionary,False,5.2,10.0,1982,"Michael Palin,Maggie Smith,Trevor Howard,Denholm Elliott,Graham Crowden,Phoebe Nicholls,Michael Hordern,David Suchet,Timothy Spall,Tricia George,Valerie Whittington,Roland Culver,Rosamund Greenwood,Janine Duvitski,Tilly Vosburgh,Hugh Walters,Derrick O'Connor,Neil Innes,David Leland,Sophie Thompson,Frances Barber,Tony Steedman,Damaris Hayman,Anton Lesser,David Dixon,Frank Mills,Charles McKeown,Julian Curry,Hugh Fraser,Peter Bourke,Arthur Howard,Anne-Marie Marriott,Dawn Archibald,Ceri Jackson,Janine Lesley,Sasha Mitchell,Francine Morgan,Sally Watkins",Richard Loncraine,,,,
